IBOV,DOL,PETR,VALE,BBDC,WTI,PRE5Y,VOL20D,VOL20D10P
0.029191839,0.001257646,0.0236405,0.02045061,0.020284671,-0.006124686,-0.005472479,0.023329363,0.018200425
0.009354902,-0.015835416,0.026185304,-0.010582109,0.019881371,0.038011867,0.000411732,0.023276276,0.017643385
0.01271785,-0.0025571,0.011887403,0.012523543,0.00373318,-0.008718618,-0.005066748,0.023196675,0.012435878
0.00419842,-0.004140068,0.003804697,0.010291134,-0.000784775,0.020666418,-0.001387803,0.022412558,0.012429496
-0.00419842,-0.005155255,-0.006349228,-0.001601025,0,0.026234063,0.007594597,0.022012927,0.012264675
0.005655965,-0.002293242,0.018803002,0.004635929,-0.000866426,-0.003403084,0.001166653,0.020647257,0.01166207
-0.016607811,-0.007089295,0.000624883,-0.017699577,-0.020727643,0.02141995,0.00570798,0.019368785,0.011822175
0.000803131,-0.002849851,0.00361664,-0.006351296,0.013187004,-0.007422192,-0.001773353,0.01934658,0.011489896
-0.01493938,0.003620289,-0.022407785,-0.018134358,-0.019104181,0.000635757,0.001498128,0.019673468,0.01133694
-0.006926546,-0.002253723,0.054743732,-0.0132297,-0.020687291,0.014153944,0.001687564,0.019709817,0.013429516
0.00745369,-0.001782849,0.011623161,0.024149729,0.00573933,0.018272639,0.003628837,0.018200425,0.01798739
0.024186903,-0.010403681,-0.006453949,0.029828764,0.039857674,0.009012617,0.006790491,0.017643385,0.018398186
0.006231421,-0.003492086,0.020178726,0.000638672,0.034142719,0,-0.006350455,0.012435878,0.018373282
0.005715449,0.007510926,0.002347419,0.00874062,0.008356595,0.015214678,0.014229264,0.012429496,0.018396967
0.007519179,-0.007691883,0.010495723,0.03207499,-0.002221606,0.014282939,0.022697542,0.012264675,0.018918087
-0.007134175,6.03E-05,-0.013783655,-0.007073688,-0.013152561,0.000922625,-0.012909629,0.01166207,0.018970176
-0.005728728,0.005774105,-0.021639175,-0.040147068,0.017590849,-0.0184454,0.006511881,0.011822175,0.01839782
0.009417238,0.000299823,0.013134517,0.011976191,0.023794367,0.021458963,-0.005624692,0.011489896,0.018427158
0.007488726,0.007585522,0,0.013558461,-0.010323373,-0.007214191,0.011607377,0.01133694,0.017844754
-0.028603825,0.017810225,-0.040489421,-0.024731761,-0.029654383,-0.026531733,-0.000835663,0.013429516,0.017839541
0.061419679,-0.013831479,0.031290158,0.05222384,0.071895359,-0.017177909,-0.021916454,0.01798739,0.018141901
0.021832192,-0.022960575,0.018779895,-0.003663008,0.058466458,0.032847118,-0.03457798,0.018398186,0.017866109
